"split","model","component","metric","value"
"CV fold 4","Regression","Classifier","threshold",0.85
"CV fold 4","Regression","Classifier","balanced_accuracy",0.661836084832746
"CV fold 4","Regression","Classifier","sensitivity",0.647746243739566
"CV fold 4","Regression","Classifier","specificity",0.675925925925926
"CV fold 4","Regression","Conditional positive-grade regressor","rmse",1.87509632571612
"CV fold 4","Regression","Conditional positive-grade regressor","mae",1.23901091428167
"CV fold 4","Regression","Conditional positive-grade regressor","r_squared",0.0915483425921226
"CV fold 4","Regression","Overall expected grade","rmse",4.49628692979944
"CV fold 4","Regression","Overall expected grade","mae",3.33789627109931
"CV fold 4","Regression","Overall expected grade","r_squared",0.12390347535953
"CV fold 4","Random forest","Classifier","roc_auc",0.694583565201261
"CV fold 4","Random forest","Classifier","average_precision",0.919921875944243
"CV fold 4","Random forest","Classifier","log_loss",0.438785851389635
"CV fold 4","Random forest","Classifier","brier",0.125324751856485
"CV fold 4","Random forest","Classifier","threshold",0.77
"CV fold 4","Random forest","Classifier","balanced_accuracy",0.639739071291659
"CV fold 4","Random forest","Classifier","sensitivity",0.797996661101836
"CV fold 4","Random forest","Classifier","specificity",0.481481481481481
"CV fold 4","Random forest","Conditional positive-grade regressor","rmse",1.87266366698901
"CV fold 4","Random forest","Conditional positive-grade regressor","mae",1.21120466376951
"CV fold 4","Random forest","Conditional positive-grade regressor","r_squared",0.093903975505074
"CV fold 4","Random forest","Overall expected grade","rmse",4.63335154931088
"CV fold 4","Random forest","Overall expected grade","mae",3.31635375358646
"CV fold 4","Random forest","Overall expected grade","r_squared",0.0696755653034291
"CV fold 4","XGBoost","Classifier","roc_auc",0.734959500401904
"CV fold 4","XGBoost","Classifier","average_precision",0.93530831055478
"CV fold 4","XGBoost","Classifier","log_loss",0.381408000453398
"CV fold 4","XGBoost","Classifier","brier",0.11675041168799
"CV fold 4","XGBoost","Classifier","threshold",0.84
"CV fold 4","XGBoost","Classifier","balanced_accuracy",0.686576392753354
"CV fold 4","XGBoost","Classifier","sensitivity",0.669449081803005
"CV fold 4","XGBoost","Classifier","specificity",0.703703703703704
"CV fold 4","XGBoost","Conditional positive-grade regressor","rmse",1.85732764053549
"CV fold 4","XGBoost","Conditional positive-grade regressor","mae",1.21562765492287
"CV fold 4","XGBoost","Conditional positive-grade regressor","r_squared",0.108684005815117
"CV fold 4","XGBoost","Overall expected grade","rmse",4.46059886282808
"CV fold 4","XGBoost","Overall expected grade","mae",3.30334362099165
"CV fold 4","XGBoost","Overall expected grade","r_squared",0.137755842186897
"CV fold 5","Regression","Classifier","roc_auc",0.661426451493229
"CV fold 5","Regression","Classifier","average_precision",0.905645115649159
"CV fold 5","Regression","Classifier","log_loss",0.408431702574032
"CV fold 5","Regression","Classifier","brier",0.123929399993815
"CV fold 5","Regression","Classifier","threshold",0.85
"CV fold 5","Regression","Classifier","balanced_accuracy",0.64536573301181
"CV fold 5","Regression","Classifier","sensitivity",0.66110183639399
"CV fold 5","Regression","Classifier","specificity",0.62962962962963
"CV fold 5","Regression","Conditional positive-grade regressor","rmse",1.83694470805748
"CV fold 5","Regression","Conditional positive-grade regressor","mae",1.23815620379674
"CV fold 5","Regression","Conditional positive-grade regressor","r_squared",0.0854673402961454
"CV fold 5","Regression","Overall expected grade","rmse",4.64368606837714
"CV fold 5","Regression","Overall expected grade","mae",3.40665796435816
"CV fold 5","Regression","Overall expected grade","r_squared",0.0630250825272911
"CV fold 5","Random forest","Classifier","roc_auc",0.642390094602115
"CV fold 5","Random forest","Classifier","average_precision",0.90503997611925
"CV fold 5","Random forest","Classifier","log_loss",0.491193036047531
"CV fold 5","Random forest","Classifier","brier",0.13261191752131
"CV fold 5","Random forest","Classifier","threshold",0.77
"CV fold 5","Random forest","Classifier","balanced_accuracy",0.621676559698263
"CV fold 5","Random forest","Classifier","sensitivity",0.789649415692821
"CV fold 5","Random forest","Classifier","specificity",0.453703703703704
"CV fold 5","Random forest","Conditional positive-grade regressor","rmse",1.83305812697642
"CV fold 5","Random forest","Conditional positive-grade regressor","mae",1.21511517306967
"CV fold 5","Random forest","Conditional positive-grade regressor","r_squared",0.0893331563306852
"CV fold 5","Random forest","Overall expected grade","rmse",4.75541702090654
